 REP CMDT, CMDT Code, CMDT - Commodity
5500,550104,"NYLON JACKETS, NOS"
5500,550300,"POLYPROPYLENE MULTI-FILAMENT YARN, NOS"
5500,550301,"FIBER, POLYPROPYLENE, NOS"
5500,550500,"POLYESTER WASTE FIBER, REPROCESSED, NOS"
5600,560000,"WADDING, FELT AND NONWOVENS; TWINE, CORDAGE, ROPES AND CABLES; NOS"
5600,560001,"ROPE CORDAGE, NOS"
5600,560002,"YARN, NOS"
5600,560003,"THREAD, YARN, NOS"
5600,560004,"MOORING ROPES, NOS"
5600,560005,"TWINES, NOS"
5600,560200,"ROLLED FELT, NOS"
5600,560201,"FILTER MEDIA, NOS"
5600,560392,"DISPOSABLE WIPES NOS, NON HAZARDOUS"
5600,560400,"POLYESTER TENT, NOS"
5600,560700,"POLYPROPYLENE ROPE, NOS"
5600,560703,"MANILA ROPE, NOS"
5600,560704,"SYNTHETIC ROPE, NOS"
5600,560800,"PLASTIC NETTING, SYNTHETIC NETTING; NOS"
5600,560801,"MOSQUITO NETTING, NOS"
5700,570000,CARPETS AND OTHER TEXTILE FLOOR COVERINGS; NOS
5700,570002,"COIR, MATS AND MATTING; NOS"
5700,570003,"DURRIES, RUGS, NOS"
5700,570004,"UNDERLAYS, NOS:"
5700,570005,"AUTOMOTIVE CARPET, NOS"
5700,570006,"CARPET, MODULAR AND TILES, NOS"
5700,570007,"BATH RUGS, NOS"
5700,570008,"RUGS, NOS"
5700,570009,"CARPETS, NOS"
5700,570010,"RUGS AND CARPETS, NOS"
5700,570011,"WALL AND FLOOR COVERING, NOS"
5700,570100,"WOOLEN CARPETS, NOS"
5700,570300,"NYLON CARPETS, NOS"
5700,571400,"CHASSIS FRAME IN BUNDLE, NOS"
5800,580000,"SPECIAL WOVEN FABRICS, LACE, TAPESTRIES, TRIMMINGS, EMBROIDERY; NOS"
5800,580001,"DOUBLE VELVET, NOS"
5800,580002,"STRETCH VELVET, NOS"
5800,580004,"TOWELS, NOS"
5800,580005,"ELASTOMER, THERMOPLASTIC, NOS"
5800,580006,"RUBBER FABRIC, USED FOR BELTS, NOS"
5800,580007,"POLYSTABLE FIBER, NOS"
5800,580008,"VELVET, NOS"
5800,580009,"FURNITURE FABRIC, NOS"
5800,580010,KNITTED AND CROCHETED FABRICS; NOS
5800,580011,"FABRIC, BURLAP, NOS"
5800,580012,"FIBERGLASS, INSULATION FOAM; NOS"
5800,580013,"FABRICS, FOR MANUFACTURING BRA PADS, NOS"
5800,580400,"LACE, NOS"
5900,590000,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILES ARTICLES; NOS"
5900,590001,"FASTENING TAPE, NYLON, NOS"
6000,600000,KNITTED OR CROCHETED FABRICS
6000,600001,"MARTIALL ARTS UNIFORMS, NOS"
6000,600002,"WEARING APPAREL, KNIT TEXTILE MATERIALS, NOS:"
6000,600003,"KNITTED FABRICS, NOS"
6000,600004,"WOVEN POLYBAGS, NOS;"
6000,600005,"SHEETS, NOS;"
6000,600006,"CLOTH AND COMPONENTS, NOS;"
6000,600007,"GREY CLOTH, NOS;"
6000,600008,"BLEACHED CLOTH, NOS;"
6000,600009,"PATIENT GOWNS, NOS;"
6000,600010,"SHOWER SPONGES, NOS;"
6000,600011,"SYNTHETIC FILAMENT, NOS;"
6000,600012,"ACRYLIC FILAMENT YARN, NOS;"
6000,600013,"POLYESTER STRAP, NOS;"
6000,600014,"COIR TWINE, NOS;"
6000,600015,"TERRY  TOWELS, NOS;"
6000,600016,"SPANDEX YARN, NOS;"
6000,600100,"RAW OR UNFINISHED MATERIALS FOR THE MANUFACTURE OF PROTECTIVE GARMENTS, NOS;"
6000,600101,"NON-WOVEN COVERALL, NOS;"
6000,600102,"CAPES AND CAPELETS, NOS"
6000,600103,"PONCHOS, NOS"
6000,600104,"FABRIC USED FOR OR IN THE MANUFACTURING OF FURNITURE, NOS"
6000,600106,MACHINERY FOR YARN PRODUCTION
6100,600200,"WEARING APPAREL, GARMENT ON HANGERS, NOS"
6100,610001,"LADIES SWEATERS, SKIRTS; NOS"
6100,610002,SPORTS APPAREL; NOS
6100,610003,COTTON AND POLYESTER GLOVES; NOS
6100,610006,"KNIT SPORTSHIRTS, NOS"
6100,610007,"SHIRTS, NOS"
6100,610008,"PANTS, NOS"
6100,610009,"LONG SLEEVE MEN'S SHIRTS, NOS"
6100,610011,"VESTS ON HANGERS, NOS"
6100,610012,"UNDERGARMENTS, NOS"
6100,610013,"WEARING APPAREL, GARMENT ON HANGERS, NOS"
6100,610014,"JEANS, NOS"
6100,610015,"WEARING APPAREL AND ACCESSORIES, NOS:"
6100,610016,HOSIERY AND SOCKS; NOS
6100,610017,"TEXTILE, NOS;"
