,hs6,naics
1111,601101,111421
1112,601103,111421
1113,601104,111421
1114,601106,111421
1115,601107,111421
1116,601108,111421
1117,601109,111421
1121,601201,111421
1122,601209,111421
1123,602100,111421
1124,602200,111421
1125,602300,111421
1126,602400,111421
1127,602902,111421
1128,602903,111421
1130,602904,111421
1131,602905,111411
1132,602906,111421
1135,602909,111421
1137,603110,111422
1140,603123,111422
1141,603127,111422
1142,603130,111422
1144,603140,111422
1146,603150,111422
1147,603190,111422
1152,603900,339999
1153,280430,325120
1154,604200,113210
1155,604200,111421
1158,604200,111422
1159,604901,113210
1160,604903,339999
1161,604906,339999
1162,701100,111211
1164,701901,111211
1165,701905,111211
1171,702002,111219
1176,702004,111219
1181,702006,111219
1186,703103,111219
1187,703104,111219
1188,703200,111219
1192,703900,111219
1193,704102,111219
1194,704104,111219
1195,704106,111219
1196,704200,111219
1197,704902,111219
1198,704904,111219
1200,705112,111219
1201,705114,111219
1202,705192,111219
1203,705194,111219
1204,705210,111219
1205,705290,111219
1206,706100,111219
1207,706101,111219
1208,706102,111219
1209,706104,111219
1210,706902,111219
1211,706903,111219
1212,706904,111219
1213,707002,111219
1214,707004,111219
1215,707005,111219
1217,707006,111219
1220,708102,111219
1221,708104,111219
1222,708201,111219
1223,708202,111219
1225,708209,111219
1227,708900,111219
1228,708901,111219
1229,708902,111219
1230,708903,111219
1231,708904,111219
1232,709201,111219
1234,709209,111219
1236,709302,111219
1237,709304,111219
1238,709402,111219
1239,709404,111219
1240,709406,111219
1241,709510,111411
1242,709591,111411
1243,709599,111411
1244,709602,111219
1246,709604,111219
1252,709700,111219
1253,709910,111219
1254,709920,111339
1255,709931,111219
1256,709990,111219
1257,709991,111219
1259,709993,111219
1260,709994,111219
1261,710100,311411
1262,710212,311411
1263,710214,311411
1264,710221,311411
1266,710222,311411
1268,710223,311411
1269,710224,311411
1271,710290,311411
1272,710291,311411
1273,710292,311411
1274,710293,311411
1275,710294,311411
1276,710300,311411
1277,710400,311411
1278,710801,311411
1279,710802,311411
1280,710804,311411
1282,710805,311411
1283,710806,311411
1285,710807,311411
1287,710808,311411
1288,710809,311411
1292,802320,111335
1296,710901,311411
1297,710909,311411
1298,711201,111339
1299,711202,111339
1300,711203,111339
1301,711204,311421
1302,711400,311421
1303,711510,311421
1304,711591,311421
1305,711599,311421
1306,711902,311421
1307,711903,311421
1308,711905,311421
1309,711906,311421
1310,712202,311942
